Subject,SessionDate,SessionTime,Sex,SexNum,Age,NativeLanguage,watch_movies,enjoy_scary_movies,watch_scary_movies,TV_with_screams,know_about_movies_actors,know_video_gmes,play_action_vid_gmes,confid_about_scrms_expt,diff_making_choice_expt,reading_emotions,CambridgeBehaviourScale,Trial,SoundFile2,StimType,Duration_1,Duration_2,Sound_End_Time,ScreamerSex,CorrectAnswer,Stimulus.RESP,ACC,Stimulus.RT,Actual_Latency
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,20,DurationModified_1,0.00,1516.00,1006.00,5927.00,0.00,1,1,1.00,5990,63.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,46,DurationModified_2,0.00,1024.00,536.00,4611.00,0.00,1,2,0.00,5261,650.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,60,DurationModified_3,0.00,2756.00,1830.00,8340.00,0.00,1,1,1.00,3718,-4622.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,5,DurationModified_4,0.00,839.00,973.00,4337.00,0.00,1,2,0.00,5459,1122.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,25,DurationModified_5,0.00,4599.00,3951.00,10891.00,0.00,1,1,1.00,11686,795.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,50,DurationModified_6,0.00,420.00,382.00,2895.00,1.00,1,1,1.00,3401,506.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,24,DurationModified_7,0.00,2579.00,1297.00,6154.00,0.00,1,1,1.00,6627,473.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,59,DurationModified_8,0.00,3662.00,3013.00,9210.00,0.00,1,1,1.00,10281,1071.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,53,DurationModified_9,0.00,1583.00,1321.00,5504.00,0.00,1,1,1.00,6498,994.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,9,DurationModified_10,0.00,2888.00,3611.00,9173.00,1.00,1,1,1.00,9847,674.00
1,14-Dec-11,2:00:31 PM,Female,0.00,19,Korean,5,4,3,2,3,1,1,3,2,4,45,14,DurationModified_11,0.00,2938.00,3324.00,8308.00,0.00,1,1,1.00,9155,847.00
